time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143631.7140882, 541, 60, 364, 101, 286, 106
1671143631.77109, 541, 60, 365, 103, 287, 106
1671143631.8260891, 541, 60, 365, 103, 287, 106
1671143631.8830876, 541, 60, 365, 103, 287, 107
1671143631.934092, 541, 60, 365, 103, 287, 106
1671143631.9830918, 538, 60, 363, 103, 285, 107
1671143632.0310893, 497, 55, 363, 103, 285, 107
1671143632.0820887, 478, 49, 362, 103, 284, 107
1671143632.1290894, 478, 49, 361, 104, 283, 108
1671143632.17709, 478, 49, 360, 102, 283, 107
1671143632.2290914, 473, 45, 360, 102, 282, 107
1671143632.3081434, 376, 48, 360, 102, 282, 106
1671143632.3860884, 379, 28, 361, 102, 283, 107
1671143632.4610913, 420, 17, 361, 102, 284, 106
1671143632.5310924, 578, 3, 361, 102, 283, 106
1671143632.609088, 695, 0, 360, 101, 282, 106
1671143632.6770911, 700, 0, 358, 102, 280, 107
1671143632.7330878, 702, 0, 358, 103, 280, 107
1671143632.8000932, 610, 17, 358, 103, 280, 107
1671143632.8740923, 485, 33, 360, 103, 282, 107
1671143632.9413958, 489, 33, 360, 103, 282, 107
1671143633.0180893, 501, 29, 359, 102, 282, 107
1671143633.0760894, 501, 29, 359, 103, 281, 107
1671143633.1400893, 490, 27, 359, 103, 281, 108
1671143633.2070901, 477, 26, 360, 103, 282, 108
1671143633.2760913, 465, 25, 360, 103, 282, 108
1671143633.3460903, 458, 23, 360, 103, 282, 108
1671143633.4110909, 455, 19, 360, 103, 282, 108
1671143633.4840932, 455, 19, 359, 103, 281, 108
1671143633.5630922, 455, 19, 359, 103, 280, 109
1671143633.6412737, 462, 17, 358, 103, 280, 109
1671143633.7140899, 463, 17, 360, 103, 281, 109
1671143633.7920918, 464, 17, 360, 103, 282, 108
1671143633.8630917, 464, 17, 360, 103, 281, 109
1671143633.9290926, 464, 17, 359, 103, 281, 109
1671143633.9920886, 464, 17, 358, 103, 280, 109
1671143634.0470889, 464, 17, 358, 103, 279, 109
1671143634.105089, 464, 17, 358, 103, 279, 109
1671143634.1810908, 464, 17, 358, 104, 280, 109
1671143634.2580907, 471, 15, 359, 104, 280, 109
1671143634.3220904, 474, 14, 358, 103, 280, 109
1671143634.3840904, 474, 14, 358, 104, 279, 110
1671143634.437089, 474, 14, 358, 103, 280, 109
1671143634.485089, 474, 14, 357, 104, 279, 110
1671143634.5330884, 474, 14, 357, 104, 278, 110
1671143634.591131, 474, 14, 357, 104, 278, 110
1671143634.6440897, 474, 14, 357, 104, 278, 110
1671143634.7220912, 472, 14, 358, 104, 279, 110
1671143634.8050885, 471, 16, 358, 104, 280, 110
1671143634.8870885, 469, 21, 358, 104, 280, 110
1671143634.9630911, 464, 26, 357, 104, 278, 110
1671143635.0270913, 463, 27, 357, 104, 278, 111
1671143635.0880904, 463, 27, 356, 105, 278, 111
1671143635.153095, 462, 27, 358, 105, 279, 111
1671143635.2350922, 461, 23, 358, 105, 279, 111
1671143635.298091, 462, 21, 358, 104, 279, 110
1671143635.3720887, 463, 19, 356, 105, 277, 111
1671143635.4370928, 466, 18, 355, 105, 277, 111
1671143635.4970996, 471, 15, 356, 104, 277, 111
1671143635.5530899, 472, 14, 355, 105, 277, 111
1671143635.6120877, 472, 14, 356, 105, 278, 111
1671143635.669089, 472, 14, 357, 105, 278, 111
1671143635.7230887, 473, 14, 358, 105, 278, 111
1671143635.7760878, 474, 14, 357, 105, 278, 111
1671143635.825087, 474, 14, 357, 105, 278, 111
1671143635.8742523, 474, 14, 357, 105, 278, 111
1671143635.925092, 474, 14, 356, 105, 277, 112
1671143635.9760907, 474, 14, 355, 105, 277, 111
1671143636.029089, 474, 14, 356, 105, 277, 112
1671143636.0790904, 474, 14, 356, 105, 277, 112
1671143636.133089, 474, 14, 357, 105, 278, 111
1671143636.1840892, 474, 14, 358, 105, 279, 111
1671143636.239091, 474, 14, 357, 105, 279, 111
1671143636.3800876, 474, 14, 356, 105, 278, 112
1671143636.4241982, 474, 14, 356, 105, 277, 112
1671143636.4720898, 474, 14, 356, 105, 277, 112
1671143636.5180888, 474, 14, 356, 106, 278, 112
1671143636.5800884, 474, 14, 357, 106, 279, 112
1671143636.6380868, 474, 14, 358, 106, 279, 112
1671143636.689089, 474, 14, 358, 106, 279, 112
1671143636.7620933, 474, 20, 357, 105, 278, 112
1671143636.8680906, 478, 36, 356, 106, 277, 112
1671143636.9970906, 484, 30, 357, 106, 277, 112
1671143637.097092, 498, 15, 357, 106, 278, 112
1671143637.2050924, 509, 13, 357, 105, 278, 112
1671143637.3230953, 472, 14, 356, 106, 277, 112
1671143637.4120898, 472, 14, 356, 106, 277, 112
1671143637.4930937, 481, 10, 356, 106, 278, 112
1671143637.5860918, 483, 10, 356, 105, 277, 112
1671143637.7380939, 476, 12, 355, 106, 276, 113
1671143637.8330913, 471, 13, 354, 106, 277, 113
1671143637.9300907, 470, 13, 356, 106, 277, 112
1671143638.009088, 470, 13, 356, 105, 278, 112
1671143638.0740902, 470, 13, 355, 106, 277, 112
1671143638.1300893, 470, 13, 354, 105, 276, 112
1671143638.18009, 470, 13, 354, 105, 276, 112
1671143638.2480886, 470, 13, 354, 106, 276, 113
1671143638.3120873, 470, 13, 353, 107, 274, 113
1671143638.4710908, 471, 14, 354, 107, 275, 113
1671143638.6030908, 471, 14, 355, 106, 276, 113
1671143638.7130919, 440, 20, 355, 105, 277, 113
1671143638.8510907, 326, 13, 357, 106, 278, 113
1671143638.9550893, 193, 7, 357, 106, 278, 112
1671143639.0320883, 147, 3, 357, 107, 278, 113
1671143639.0970893, 146, 3, 356, 106, 277, 113
1671143639.166091, 168, 2, 355, 107, 276, 114
1671143639.2500892, 355, 72, 355, 108, 276, 114
1671143639.3380928, 502, 313, 356, 108, 277, 114
1671143639.4350893, 511, 418, 355, 107, 276, 114
1671143639.5780883, 630, 446, 354, 108, 274, 115
1671143639.7320895, 725, 439, 355, 108, 275, 115
1671143639.8470888, 882, 357, 356, 108, 277, 115
1671143639.9200892, 1314, 269, 355, 108, 276, 115
1671143639.9950876, 1666, 177, 351, 107, 272, 115
1671143640.0700884, 1737, 137, 349, 108, 269, 115
1671143640.1370897, 1737, 134, 349, 108, 269, 115
1671143640.202089, 1749, 130, 349, 108, 270, 115
1671143640.3250883, 1843, 147, 349, 107, 270, 115
1671143640.437088, 1866, 126, 349, 108, 270, 115
