time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143107.92032, 1337, 840, 352, 114, 272, 119
1671143107.9753196, 1325, 821, 353, 113, 272, 119
1671143108.0273182, 1284, 791, 353, 113, 272, 119
1671143108.0803185, 1209, 746, 353, 113, 272, 119
1671143108.1263192, 1128, 709, 353, 113, 272, 119
1671143108.1783423, 1038, 666, 353, 113, 272, 119
1671143108.2293484, 973, 638, 353, 113, 272, 119
1671143108.287349, 935, 620, 353, 113, 272, 118
1671143108.3424768, 918, 611, 353, 113, 272, 118
1671143108.3984253, 913, 608, 352, 114, 272, 119
1671143108.4523897, 913, 608, 353, 113, 272, 119
1671143108.501409, 913, 608, 352, 114, 271, 119
1671143108.5594306, 913, 608, 352, 114, 271, 119
1671143108.6204338, 1020, 609, 352, 114, 272, 119
1671143108.6814308, 1094, 588, 352, 114, 272, 119
1671143108.7444327, 1122, 549, 352, 114, 271, 119
1671143108.8044317, 1126, 532, 352, 114, 272, 120
1671143108.864431, 1099, 511, 352, 114, 272, 120
1671143108.9204307, 997, 491, 354, 114, 273, 119
1671143108.9744294, 828, 488, 355, 114, 274, 119
1671143109.03143, 674, 479, 355, 114, 273, 120
1671143109.0834317, 591, 461, 355, 115, 274, 119
1671143109.133429, 560, 453, 355, 114, 275, 120
1671143109.1844296, 539, 449, 355, 114, 274, 120
1671143109.24045, 533, 449, 356, 114, 275, 120
1671143109.3024313, 535, 450, 357, 115, 276, 120
1671143109.3757555, 544, 461, 357, 115, 276, 120
1671143109.45043, 550, 473, 357, 115, 277, 120
1671143109.5144298, 544, 481, 357, 115, 276, 120
1671143109.5944307, 515, 489, 358, 115, 277, 121
1671143109.6734312, 466, 496, 358, 116, 277, 120
1671143109.7474325, 437, 499, 358, 116, 277, 121
1671143109.819431, 421, 501, 358, 116, 277, 121
1671143109.893433, 407, 510, 358, 116, 277, 121
1671143109.958431, 393, 531, 358, 116, 277, 121
1671143110.013428, 389, 549, 358, 116, 277, 121
1671143110.0724287, 385, 569, 358, 116, 277, 121
1671143110.1256976, 341, 613, 358, 116, 277, 121
1671143110.1764352, 275, 670, 359, 117, 278, 122
1671143110.2294328, 220, 736, 359, 118, 279, 123
1671143110.2804315, 199, 786, 359, 118, 278, 123
1671143110.3274293, 197, 808, 359, 118, 278, 123
1671143110.3757253, 201, 817, 359, 118, 278, 123
1671143110.4194305, 208, 820, 359, 118, 278, 123
1671143110.46543, 223, 827, 359, 117, 277, 123
1671143110.5104299, 242, 833, 359, 118, 278, 123
1671143110.5564313, 268, 834, 358, 118, 277, 123
1671143110.6074324, 290, 825, 359, 118, 277, 123
1671143110.6564298, 323, 802, 359, 118, 277, 123
1671143110.7124279, 356, 766, 359, 118, 277, 123
1671143110.7584307, 373, 746, 358, 117, 277, 123
1671143110.8094285, 388, 724, 358, 118, 277, 123
1671143110.860432, 402, 705, 358, 118, 277, 123
1671143110.939432, 423, 681, 358, 117, 276, 123
1671143110.9894314, 437, 672, 358, 117, 276, 123
1671143111.0374296, 454, 660, 357, 117, 276, 123
1671143111.08443, 472, 648, 357, 117, 276, 123
1671143111.1304288, 484, 641, 357, 117, 276, 123
1671143111.1784284, 491, 638, 357, 117, 276, 123
1671143111.2284307, 508, 634, 356, 117, 276, 122
1671143111.2734284, 525, 633, 356, 117, 275, 122
1671143111.342432, 554, 633, 356, 116, 275, 122
1671143111.4024296, 595, 638, 355, 116, 274, 121
1671143111.4544306, 645, 642, 355, 115, 274, 121
1671143111.5084288, 705, 645, 354, 115, 273, 121
1671143111.5644293, 758, 650, 353, 115, 273, 121
1671143111.627431, 798, 655, 354, 115, 273, 121
1671143111.6904306, 826, 659, 353, 115, 273, 121
1671143111.7584305, 865, 669, 354, 115, 273, 121
1671143111.8154314, 899, 682, 353, 115, 273, 121
1671143111.8764307, 930, 694, 353, 115, 272, 121
1671143111.9264312, 943, 700, 353, 116, 272, 121
1671143111.982429, 959, 711, 353, 116, 272, 121
1671143112.0484316, 981, 725, 352, 116, 272, 121
1671143112.1034439, 1005, 738, 352, 116, 272, 121
1671143112.153432, 1021, 748, 353, 116, 272, 121
1671143112.20743, 1032, 754, 353, 116, 271, 121
1671143112.255429, 1043, 761, 353, 116, 272, 121
1671143112.306432, 1061, 770, 352, 116, 272, 121
1671143112.3534293, 1080, 778, 352, 116, 271, 121
1671143112.4004314, 1096, 785, 352, 116, 272, 121
